mpc_step,admm_iter,k,n_c,lam_n_EE-BOX,lam_t_norm_EE-BOX,gamma_EE-BOX,lam_n_T-VERT-0,lam_t_norm_T-VERT-0,gamma_T-VERT-0,lam_n_T-VERT-1,lam_t_norm_T-VERT-1,gamma_T-VERT-1,lam_n_T-VERT-2,lam_t_norm_T-VERT-2,gamma_T-VERT-2
0,5,16,4,5.474788,0.983868,-0.000000,9.469155,4.686687,-0.000000,16.372392,15.646514,-0.000000,12.689969,8.816835,0.000000
0,5,17,4,5.234824,0.943260,-0.000000,9.593623,4.623664,-0.000000,16.592955,16.118088,-0.000000,12.893705,9.115665,-0.000000
0,5,18,4,4.893480,0.828765,-0.000000,9.604673,4.631603,0.000000,16.617325,16.378009,-0.000000,12.915041,9.304906,0.000000
0,5,19,4,3.890660,0.767749,-0.000000,9.551107,4.179854,-0.000000,16.600298,16.504961,0.000000,13.156614,9.593270,-0.000000
0,6,0,4,15.209241,2.890345,0.000000,4.194645,0.000000,-0.000000,11.723786,11.747734,0.008830,4.977267,3.735933,0.009010
0,6,1,4,13.689009,2.016507,0.000000,3.091035,0.000000,0.000000,10.909205,10.737521,0.352438,4.634589,4.279856,0.357008
0,6,2,4,10.881510,1.695375,-0.000000,-0.000000,1.475822,0.377869,1.583255,0.894321,1.183222,-0.000000,1.593711,1.087323
0,6,3,4,10.529941,0.383245,0.000000,-0.000000,2.007174,2.216139,0.446970,1.672545,0.899368,-0.000000,1.276249,1.004268
0,6,4,4,10.122226,0.989120,0.000000,-0.000000,2.340269,2.883793,1.449059,2.747361,0.858509,0.039022,0.316813,0.834833
0,6,5,4,7.947830,0.664305,0.000000,-0.000000,1.023677,1.303973,0.613646,1.313712,0.387955,0.000000,0.000000,0.359217
0,6,6,4,7.423162,1.033741,0.000000,-0.000000,0.000000,0.000000,1.292387,0.499473,-0.000000,0.267372,0.676914,0.000000
0,6,7,4,9.022981,1.383672,0.000000,4.603429,3.847515,-0.000000,10.381680,9.782869,0.000000,6.709935,2.100250,-0.000000
