t,ee_box_depth,ee_box_force_norm,n_pairs
0.540000,0.00000000,0.0000,1
0.540000,0.00000000,0.0000,1
0.541000,0.00000000,0.0000,1
0.542000,0.00000000,0.0000,1
0.543000,0.00000000,0.0000,1
0.544000,0.00000000,0.0000,1
0.545000,0.00000000,0.0000,2
0.546000,0.00000000,0.0000,2
0.546875,0.00000000,0.0000,2
0.547000,0.00000000,0.0000,2
0.548000,0.00000000,0.0000,2
0.549000,0.00000000,0.0000,2
0.550000,0.00000000,0.0000,2
0.550000,0.00000000,0.0000,2
0.551000,0.00000000,0.0000,2
0.552000,0.00000000,0.0000,2
0.553000,0.00000000,0.0000,2
0.554000,0.00000000,0.0000,2
0.555000,0.00000000,0.0000,2
0.556000,0.00000000,0.0000,2
0.557000,0.00000000,0.0000,2
0.558000,0.00000000,0.0000,2
0.559000,0.00000000,0.0000,2
0.560000,0.00000000,0.0000,2
0.560000,0.00000000,0.0000,2
0.561000,0.00000000,0.0000,2
0.562000,0.00000000,0.0000,2
0.562500,0.00000000,0.0000,2
0.563000,0.00000000,0.0000,2
0.564000,0.00000000,0.0000,2
0.565000,0.00000000,0.0000,2
0.566000,0.00000000,0.0000,2
0.567000,0.00000000,0.0000,2
0.568000,0.00000000,0.0000,2
0.569000,0.00000000,0.0000,2
0.570000,0.00000000,0.0000,2
0.570000,0.00000000,0.0000,2
0.571000,0.00000000,0.0000,2
0.572000,0.00000000,0.0000,2
0.573000,0.00000000,0.0000,2
0.574000,0.00000000,0.0000,2
0.575000,0.00000000,0.0000,2
0.576000,0.00000000,0.0000,2
0.577000,0.00000000,0.0000,2
0.578000,0.00000000,0.0000,2
0.578125,0.00000000,0.0000,2
0.579000,0.00000000,0.0000,2
0.580000,0.00000000,0.0000,2
0.580000,0.00000000,0.0000,2
0.581000,0.00000000,0.0000,2
0.582000,0.00000000,0.0000,2
0.583000,0.00000000,0.0000,2
0.584000,0.00000000,0.0000,2
0.585000,0.00000000,0.0000,2
0.586000,0.00000000,0.0000,2
0.587000,0.00000000,0.0000,2
0.588000,0.00000000,0.0000,2
0.589000,0.00000000,0.0000,2
0.590000,0.00000000,0.0000,2
0.590000,0.00000000,0.0000,2
0.591000,0.00000000,0.0000,2
