step,pr,dr,tol
1532,9.1648,379.7069,1e-03
1533,9.7343,407.7207,1e-03
1538,7.6338,331.8256,1e-03
1539,10.5986,432.9176,1e-03
1544,8.0925,336.4661,1e-03
1545,9.9213,370.5053,1e-03
1550,12.2785,438.6774,1e-03
1551,9.8387,395.5684,1e-03
1556,11.8333,373.0047,1e-03
1557,12.1105,374.963,1e-03
1562,9.4834,395.308,1e-03
1563,9.6203,388.427,1e-03
1568,10.601,393.617,1e-03
1569,9.9881,385.1687,1e-03
1574,9.8825,420.1253,1e-03
1575,9.102,379.402,1e-03
1580,8.6024,359.9772,1e-03
1581,15.4658,504.2787,1e-03
1586,10.8991,358.9642,1e-03
1587,10.9248,407.2493,1e-03
1592,10.9921,360.7417,1e-03
1593,10.7361,371.3212,1e-03
1598,9.3758,371.1897,1e-03
1599,10.0549,392.1194,1e-03
1604,8.0574,337.6463,1e-03
1605,9.2402,331.2948,1e-03
1610,9.4061,388.3273,1e-03
1611,13.1339,453.5464,1e-03
1616,11.0655,346.2631,1e-03
1617,10.6411,421.4739,1e-03
1622,9.8357,320.9593,1e-03
1623,9.6882,387.0168,1e-03
1628,17.9866,540.5118,1e-03
1629,14.874,612.4755,1e-03
1634,14.8994,653.0416,1e-03
1635,18.2901,627.8588,1e-03
1640,9.9156,426.7269,1e-03
1641,10.7984,420.8752,1e-03
1646,8.8702,266.8843,1e-03
1647,12.7718,539.3758,1e-03
1652,12.9552,414.8138,1e-03
1653,8.9898,343.6207,1e-03
1658,12.4495,382.8474,1e-03
1659,8.8623,352.3354,1e-03
1664,11.1317,410.9269,1e-03
1665,13.9925,446.1956,1e-03
