step,A_is_ee,F_W_x,F_W_y,F_W_z,F_W_mag,box_x,box_y,box_z,ee_x,ee_y,ee_z
191,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04754,-0.07901,0.07209
192,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.0476,-0.07901,0.0741
193,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04767,-0.079,0.07653
194,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04774,-0.079,0.0793
195,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04782,-0.07901,0.08232
196,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04789,-0.07903,0.08555
197,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04796,-0.07905,0.08895
198,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04802,-0.07908,0.09247
199,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04808,-0.07912,0.0961
200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.0481,-0.07916,0.0998
201,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04805,-0.07921,0.10357
202,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04796,-0.07925,0.10739
203,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04785,-0.07929,0.11124
204,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04772,-0.07933,0.11513
205,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04759,-0.07938,0.11896
206,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04747,-0.07944,0.12263
207,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.04737,-0.0795,0.12573
208,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.04709,-0.07925,0.12887
209,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.04654,-0.07848,0.13165
210,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.04576,-0.07725,0.13408
211,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.0448,-0.07565,0.13619
212,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.04369,-0.07374,0.13802
213,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.04244,-0.07156,0.13957
214,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.04108,-0.06915,0.1409
215,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.03964,-0.06656,0.14202
216,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.03811,-0.06381,0.14296
217,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.03652,-0.06093,0.14375
218,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.03487,-0.05793,0.14441
219,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.03317,-0.05485,0.14496
220,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.03143,-0.05169,0.14541
221,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.03033,-0.04859,0.14576
222,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.03026,-0.04563,0.14602
223,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.03097,-0.0428,0.14621
224,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.03225,-0.04006,0.14636
225,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.03398,-0.03741,0.14648
226,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.03604,-0.03482,0.14658
227,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.03833,-0.03229,0.14666
228,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.04076,-0.02979,0.14673
229,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.04329,-0.02733,0.1468
230,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.04592,-0.0249,0.14685
231,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.04863,-0.02249,0.1469
232,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.05141,-0.02009,0.14694
233,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.05422,-0.01774,0.14698
234,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.05694,-0.01548,0.14701
235,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.0595,-0.01337,0.14702
236,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.06187,-0.01142,0.14702
237,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.06401,-0.00969,0.14661
