step,u0_Nm,lambda_n_max,eta_n_max,primal,iters,iters_max
1103,42.41,0.0,0.74,3.874,25,25
1106,42.76,-0.0,0.74,3.874,25,25
1109,43.08,-0.0,0.74,3.874,25,25
1112,43.34,-0.0,0.74,3.874,25,25
1115,43.68,0.0,0.74,3.874,25,25
1118,43.82,0.0,0.74,3.874,25,25
1121,43.75,-0.0,0.74,3.874,25,25
1124,43.69,-0.0,0.74,3.874,25,25
1127,43.62,-0.0,0.74,3.874,25,25
1130,43.54,-0.0,0.74,3.874,25,25
1133,43.46,-0.0,0.74,3.874,25,25
1136,43.37,-0.0,0.74,3.874,25,25
1139,43.31,0.0,0.74,3.874,25,25
1142,43.22,0.0,0.74,3.874,25,25
1145,43.13,0.0,0.74,3.874,25,25
1148,43.06,0.0,0.74,3.874,25,25
1151,42.94,0.0,0.74,3.874,25,25
1154,42.49,0.0,0.74,3.874,25,25
1157,41.85,0.0,0.74,3.874,25,25
1160,41.24,0.0,0.74,3.874,25,25
1163,40.68,0.0,0.74,3.874,25,25
1166,40.2,0.0,0.74,3.874,25,25
1169,39.77,0.0,0.74,3.874,25,25
1172,29.39,0.0,0.74,3.874,25,25
1173,38.79,0.0,0.74,3.874,25,25
1178,25.09,0.0,0.74,3.874,25,25
1179,38.3,-0.0,0.74,3.874,25,25
1184,26.82,0.0,0.74,3.874,25,25
1185,37.97,-0.0,0.74,3.874,25,25
1190,22.97,0.0,0.74,3.874,25,25
1191,37.82,-0.0,0.74,3.874,25,25
1196,26.51,0.0,0.74,3.874,25,25
1197,37.75,-0.0,0.74,3.874,25,25
1202,21.96,0.0,0.74,3.874,25,25
1203,37.69,-0.0,0.74,3.874,25,25
1208,26.54,0.0,0.74,3.874,25,25
1209,37.68,-0.0,0.74,3.874,25,25
1214,21.43,0.0,0.74,3.874,25,25
1215,37.69,1.056,1.279,4.934,25,25
1220,26.55,1.056,1.279,4.934,25,25
1221,37.67,0.0,0.739,3.868,25,25
1226,21.21,0.0,0.739,3.868,25,25
1227,37.69,1.056,1.279,7.972,25,25
1232,26.58,1.056,1.279,7.972,25,25
1233,37.71,1.061,1.279,4.93,25,25
1238,21.16,1.061,1.279,4.93,25,25
1239,37.73,1.06,1.279,4.933,25,25
1244,26.63,1.06,1.279,4.933,25,25
1245,37.76,0.0,0.738,3.868,25,25
1250,21.18,0.0,0.738,3.868,25,25
1251,37.81,-0.0,0.739,3.869,25,25
1256,26.71,0.0,0.739,3.869,25,25
1257,37.83,1.06,1.279,4.933,25,25
1262,21.22,1.06,1.279,4.933,25,25
1263,37.86,1.06,1.279,4.929,25,25
1268,26.79,1.06,1.279,4.929,25,25
1269,37.89,-0.0,0.735,3.87,25,25
1274,21.27,0.0,0.735,3.87,25,25
1275,37.92,-0.0,0.741,3.866,25,25
1280,26.86,0.0,0.741,3.866,25,25
1281,38.22,9.741,2.738,6.041,25,25
1286,25.39,9.84,7.573,14.511,25,25
1287,39.49,8.316,2.718,8.001,25,25
1292,29.77,8.283,3.14,7.501,25,25
1293,41.88,8.277,2.634,6.236,25,25
1298,27.03,8.141,7.92,13.082,25,25
1299,42.81,8.065,2.732,8.293,25,25
1304,30.11,8.013,3.057,10.425,25,25
1305,43.96,9.454,2.722,5.569,25,25
1310,28.31,9.548,8.627,15.376,25,25
1311,43.85,9.306,2.676,6.783,25,25
1316,30.46,9.487,3.115,7.833,25,25
1317,44.06,9.1,2.891,13.322,25,25
1322,28.87,9.469,8.201,5.271,25,25
1323,43.9,9.102,2.981,13.916,25,25
1328,30.86,9.487,3.547,13.818,25,25
1329,44.2,9.375,3.128,14.788,25,25
1334,28.59,8.871,8.042,10.984,25,25
1335,44.03,9.604,3.468,11.868,25,25
1340,31.15,9.772,3.546,13.101,25,25
1341,44.13,9.184,3.301,7.589,25,25
1346,28.16,9.128,8.2,7.501,25,25
1347,43.83,8.677,3.334,7.662,25,25
1352,30.53,8.885,3.445,7.158,25,25
1353,44.06,8.156,3.352,11.332,25,25
1358,27.96,8.616,7.995,8.218,25,25
1359,41.25,7.888,3.362,12.34,25,25
1364,29.0,8.497,3.375,8.368,25,25
1365,42.35,7.912,3.425,11.029,25,25
1370,24.81,8.456,7.349,12.681,25,25
1371,43.18,8.344,3.432,12.542,25,25
1376,33.23,8.281,3.226,16.555,25,25
1377,43.39,5.803,3.164,5.706,25,25
1382,25.98,5.65,6.643,10.276,25,25
1383,43.4,8.534,3.661,9.347,25,25
1388,33.7,8.334,3.454,12.854,25,25
1389,42.83,9.143,4.537,9.474,25,25
1394,26.55,8.968,6.994,12.907,25,25
1395,42.91,7.801,3.651,11.007,25,25
1400,29.94,7.768,3.43,11.916,25,25
1401,43.39,8.34,3.724,9.385,25,25
1406,30.78,7.942,8.642,16.538,25,25
1407,43.24,8.151,3.723,9.956,25,25
1412,33.93,7.943,3.482,15.874,25,25
1413,43.31,8.087,3.743,10.051,25,25
1418,31.45,7.811,8.705,17.245,25,25
1419,43.02,5.24,3.188,7.957,25,25
1424,30.74,5.044,2.91,8.352,25,25
1425,42.14,7.214,3.717,10.888,25,25
1430,26.12,7.532,7.524,11.798,25,25
1431,42.26,5.129,3.191,9.159,25,25
1436,31.72,4.941,2.858,9.442,25,25
1437,42.24,5.123,3.206,9.403,25,25
1442,27.46,4.983,5.72,7.548,25,25
1443,41.75,4.968,3.206,8.432,25,25
1448,32.5,4.798,2.859,12.427,25,25
1449,41.5,6.577,3.673,13.224,25,25
1454,27.9,7.242,6.252,8.912,25,25
1455,41.64,6.331,3.463,13.565,25,25
1460,33.02,6.461,3.185,16.526,25,25
1461,41.62,6.26,3.414,13.923,25,25
1466,34.84,6.123,6.449,13.888,25,25
1467,41.11,6.32,3.569,11.104,25,25
1472,33.43,5.947,3.145,10.823,25,25
1473,41.22,4.601,3.231,9.795,25,25
1478,28.41,4.438,4.216,10.397,25,25
1479,40.97,4.5,3.23,10.054,25,25
1484,32.38,4.35,2.766,10.503,25,25
1485,40.98,4.433,3.236,9.931,25,25
1490,29.96,4.271,3.836,8.957,25,25
1491,40.64,4.384,3.241,9.864,25,25
1496,32.62,4.212,2.734,10.09,25,25
1497,40.89,4.692,2.915,11.329,25,25
1502,35.82,4.897,4.5,13.141,25,25
1503,40.75,4.493,2.825,11.357,25,25
1508,34.86,4.544,2.377,11.522,25,25
1509,40.42,7.816,5.106,12.585,25,25
1514,32.08,7.371,4.534,12.632,25,25
1515,39.65,9.055,5.186,13.05,25,25
1520,34.31,7.408,4.649,14.292,25,25
1521,39.83,8.763,5.203,16.936,25,25
1526,33.66,6.958,4.624,15.079,25,25
1527,40.4,4.373,3.132,8.643,25,25
1532,32.73,4.354,2.684,10.847,25,25
1533,40.69,3.877,3.07,9.165,25,25
1538,33.08,4.289,2.661,9.734,25,25
1539,40.02,3.983,2.731,7.634,25,25
1544,34.73,4.048,3.055,10.599,25,25
1545,39.71,3.786,2.759,8.093,25,25
1550,34.21,3.84,2.247,9.921,25,25
1551,40.94,3.527,2.992,12.278,25,25
1556,31.67,3.595,2.492,9.839,25,25
1557,40.1,3.442,3.264,11.833,25,25
1562,31.69,3.253,2.431,12.111,25,25
1563,40.7,3.209,3.005,9.483,25,25
1568,32.68,3.241,2.434,9.62,25,25
1569,40.26,3.225,2.906,10.601,25,25
1574,31.32,3.315,2.726,9.988,25,25
1575,40.63,3.05,3.034,9.882,25,25
1580,31.8,3.122,2.453,9.102,25,25
1581,38.94,3.415,2.795,8.602,25,25
1586,33.67,3.542,3.214,15.466,25,25
1587,38.38,3.082,3.129,10.899,25,25
1592,31.43,2.91,2.486,10.925,25,25
1593,38.94,3.139,3.031,10.992,25,25
1598,29.2,3.0,2.529,10.736,25,25
1599,38.87,3.133,2.929,9.376,25,25
1604,29.14,3.056,2.48,10.055,25,25
1605,38.07,3.821,2.514,8.057,25,25
1610,32.71,3.918,2.146,9.24,25,25
1611,38.08,3.431,2.408,9.406,25,25
1616,33.17,3.317,2.065,13.134,25,25
1617,38.03,2.982,2.683,11.065,25,25
1622,29.59,3.079,2.483,10.641,25,25
1623,39.74,2.93,2.559,9.836,25,25
1628,27.3,2.977,2.418,9.688,25,25
